,time,result,time with partioning,result with partioning
0,0.014698982238769531,6872794031.0,0.1312868595123291,31931.0
1,0.013847827911376953,7805618260.0,0.13947391510009766,1614.0
2,0.016373872756958008,2947797135.0,0.13657307624816895,2791.0
3,0.013998985290527344,1760505220.0,0.1288280487060547,25320.0
4,0.01424717903137207,7217382344.0,0.13590407371520996,308.0
5,0.016583919525146484,5742717067.0,0.13109707832336426,3365.0
6,0.014364957809448242,15742436653.0,0.12923383712768555,6565.0
7,0.014523983001708984,1896756737.0,0.1379718780517578,6965.0
8,0.013772964477539062,9350460798.0,0.137192964553833,2064.0
9,0.013747930526733398,13460764364.0,0.13732504844665527,7382.0
10,0.014026880264282227,21265926542.0,0.1324748992919922,8530.0
11,0.013725996017456055,5038939339.0,0.1440110206604004,49249.0
12,0.014148950576782227,12924850347.0,0.13123178482055664,25039.0
13,0.01371002197265625,13390201663.0,0.1331639289855957,5293.0
14,0.014076948165893555,865953929.0,0.12909197807312012,34361.0
15,0.013624906539916992,22863735836.0,0.12982916831970215,5928.0
16,0.014373064041137695,14357140442.0,0.13292908668518066,40052.0
17,0.013738155364990234,19514803196.0,0.14241504669189453,2644.0
18,0.01380300521850586,21880334582.0,0.14045500755310059,2664.0
19,0.014111042022705078,1915420587.0,0.13433289527893066,10473.0
20,0.014019012451171875,3662416966.0,0.13268303871154785,4178.0
21,0.01385807991027832,6488430916.0,0.129774808883667,7160.0
22,0.013958930969238281,3036444166.0,0.13419103622436523,13024.0
23,0.014842033386230469,13240085635.0,0.13646388053894043,65019.0
24,0.015336036682128906,14761978367.0,0.13602685928344727,13493.0
25,0.016438961029052734,33339130295.0,0.13086318969726562,17455.0
26,0.01485300064086914,2402223870.0,0.1364438533782959,9638.0
27,0.014467000961303711,4895170306.0,0.135451078414917,2832.0
28,0.01677703857421875,22703659432.0,0.13739705085754395,15656.0
29,0.013801097869873047,16691359192.0,0.13132309913635254,514.0
30,0.016872882843017578,8018911446.0,0.1350870132446289,7998.0
31,0.01379704475402832,13173525684.0,0.1350710391998291,56158.0
32,0.013911962509155273,15923858201.0,0.13681817054748535,18115.0
33,0.0157928466796875,8480291586.0,0.13410496711730957,4320.0
34,0.01359701156616211,4937543588.0,0.1427609920501709,284.0
35,0.01376199722290039,16279979690.0,0.13063907623291016,15074.0
36,0.01360011100769043,5450478359.0,0.13941097259521484,38123.0
37,0.016709089279174805,9655515056.0,0.14145994186401367,47742.0
38,0.014667034149169922,3940532350.0,0.13026094436645508,1128.0
39,0.013974905014038086,9340015239.0,0.15662908554077148,21905.0
40,0.01393890380859375,59640775521.0,0.13287687301635742,11881.0
41,0.014386892318725586,123772296.0,0.1399860382080078,1270.0
42,0.013915061950683594,6221556739.0,0.12954092025756836,61885.0
43,0.01613783836364746,12742753353.0,0.13279199600219727,13429.0
44,0.017352819442749023,23204762471.0,0.1334059238433838,27381.0
45,0.0167238712310791,547929842.0,0.12854480743408203,70702.0
46,0.014447927474975586,5109541101.0,0.12718415260314941,6073.0
47,0.014164209365844727,8805953759.0,0.14708399772644043,19195.0
48,0.013586997985839844,7332274037.0,0.13682794570922852,12031.0
49,0.01376485824584961,19033293674.0,0.13501405715942383,34644.0
